,df.text,cl.cluster
4,Good Seed Inc. Recalls Soybean Sprouts and Mung Bean Sprouts Due To Possible Health Risk: Good Seed Inc. of Sp... http://t.co/Ho8RoIx7gH,10
6,"United Salad Co. Recalls Champ's Sliced Crimini Mushrooms Because of Possible Health Risk: United Salad Co., t... http://t.co/4jF005TQRr",10
20,"Frontiere Natural Meats, LLC Recalls Ground Elk Meat Because Of Possible Health Risk: Frontiere Natural Meats,... http://t.co/gNFMh8TD8Y",10
36,OC Raw Dog Recalls Turkey &amp; Produce Raw Frozen Canine Formulation Because of Possible Salmonella Health Risk: ... http://t.co/fgkE2Nrl5a,10
39,Good Seed Inc. Recalls Soybean Sprouts &amp; Mung Bean Sprouts Due To Possible Health Risk: Good Seed Inc. of Spri... http://t.co/naOmcGYyzq,10
44,Sun Rich Fresh Foods Inc. Recalls Apple Slices Because Of Possible Health Risk: Sun Rich Fresh Foods Inc. of R... http://t.co/V9ugKyU2RU,10
45,"Voluntary Recall for Navajo Pride Bleached Flour Due to Possible Health Risk: NAVAJO PRIDE, LLC of FARMINGTON,... http://t.co/5mc0wcoAS4",10
47,"Waymouth Farms, Inc. Recalls Raw Pine Nuts Because of Possible Health Risk: Waymouth Farms, Inc. of New Hope, ... http://t.co/XvpDx9pFlF",10
48,"TFH Publications, Inc./Nylabone Products Recalls Puppy Starter Kit Due To Possible Salmonella Health Risk: TFH... http://t.co/YDYZjl1rrJ",10
59,Blue Bell Creameries Voluntarily Expands Recall to Include All of its Products Due to Possible Health Risk: Bl... http://t.co/d6LEP0kexz,10
61,"Superior Nut &amp; Candy Co., Inc. Recalls Pine Nuts Because of Possible Health Risk: Superior Nut &amp; Candy Co., In... http://t.co/01KJ4vTcfG",10
64,"Hines Nut Company Voluntary WALNUT HALVES AND PIECES Due to Possible Health Risk Recalls: Hines Nut Company, D... http://t.co/Q7KxsZePH5",10
66,"Schnucks Recalls Chefâ€™s Express California Pasta Salad Because of Possible Health Risk: Schnuck Markets, Inc. ... http://t.co/n9aZbfdRkg",10
75,Texas Pecan Company Voluntarily Recalls Macadamia Nuts and Products Containing Macadamia Nuts Because of Possi... http://t.co/jEca4tj0cG,10
78,"Texas Star Nut and Food Co., Inc. Expands Its Voluntary Recall to Include Additional Macadamia Nut Products Du... http://t.co/9DC5l4XWXJ",10
79,"Blue Bell Creameries Expands Recall of Products Produced in Broken Arrow, Oklahoma Due to Possible Health Risk... http://t.co/yhjU0aRzsZ",10
81,"Henryâ€™s Farm Inc Recalls Soybean Sprouts Due to Possible Health Risk: Henryâ€™s Farm Inc. of Woodford, VA is rec... http://t.co/pdrtsM4PfC",10
103,"Amy's Kitchen Recalls Various Products Because of Possible Health Risk: Amy's Kitchen, Inc. is voluntarily rec... http://t.co/MLTRfZMICO",10
105,"Voluntary Recall for Potential Health Risk Oâ€™Coconut â„¢: Nutiva, an Organic Superfoods company, has initiated a... http://t.co/dARgX5Vmti",10
107,Texas Star Nut and Food Co. Inc. Natural Macadamia Nuts Are Being Voluntarily Recalled Due To Possible Salmone... http://t.co/HkZZmPKwCg,10
